rows,cols,fill,NNZ,threads,timeData,timeTot
3000,3000,0.05,0,2,0,3007
3000,3000,0.05,0,4,0,1456
3000,3000,0.05,0,6,0,1473
3000,3000,0.05,0,8,0,1509
3000,3000,0.05,0,10,0,1503
3000,3000,0.05,0,12,0,1488
3000,3000,0.05,0,14,0,1494
3000,3000,0.05,0,16,0,1502
3000,3000,0.05,0,18,0,1503
3000,3000,0.05,0,20,0,1509
3000,3000,0.05,0,22,0,1507
3000,3000,0.05,0,24,0,1512
3000,3000,0.05,0,26,0,1519
3000,3000,0.05,0,28,0,1520
3000,3000,0.05,0,30,0,1525
3000,3000,0.05,0,32,0,1531
3000,3000,0.05,0,34,0,1526
3000,3000,0.05,0,36,0,1538
3000,3000,0.05,0,38,0,1536
3000,3000,0.05,0,40,0,1547
3000,3000,0.05,0,42,0,1544
3000,3000,0.05,0,44,0,1554
3000,3000,0.05,0,46,0,1553
3000,3000,0.05,0,48,0,1539
3000,3000,0.05,0,50,0,1564
3000,3000,0.05,0,52,0,1688
3000,3000,0.05,0,54,0,1567
3000,3000,0.05,0,56,0,1558
3000,3000,0.05,0,58,0,1544
3000,3000,0.05,0,60,0,1578
3000,3000,0.05,0,62,0,1590
3000,3000,0.05,0,64,0,1606
3000,3000,0.05,0,66,0,1592
3000,3000,0.05,0,68,0,1585
3000,3000,0.05,0,70,0,1594
3000,3000,0.05,0,72,0,1610
3000,3000,0.05,0,74,0,1593
3000,3000,0.05,0,76,0,1600
3000,3000,0.05,0,78,0,1601
3000,3000,0.05,0,80,0,1615
