rows,cols,fill,NNZ,threads,timeData,timeTot
15000,15000,0.05,0,2,3327,32606
15000,15000,0.05,0,4,3662,14897
15000,15000,0.05,0,6,3520,13096
15000,15000,0.05,0,8,3347,11135
15000,15000,0.05,0,10,3571,10847
15000,15000,0.05,0,12,3457,10168
15000,15000,0.05,0,14,3563,10343
15000,15000,0.05,0,16,3576,10179
15000,15000,0.05,0,18,3381,9504
15000,15000,0.05,0,20,3310,9419
15000,15000,0.05,0,22,3452,9743
15000,15000,0.05,0,24,3363,9543
15000,15000,0.05,0,26,3319,9733
15000,15000,0.05,0,28,3344,9647
15000,15000,0.05,0,30,3590,10029
15000,15000,0.05,0,32,3513,10237
15000,15000,0.05,0,34,3317,9966
15000,15000,0.05,0,36,3296,9839
15000,15000,0.05,0,38,3293,10034
15000,15000,0.05,0,40,3232,10197
15000,15000,0.05,0,42,3375,10444
15000,15000,0.05,0,44,3603,10775
15000,15000,0.05,0,46,3434,10660
15000,15000,0.05,0,48,3387,10710
15000,15000,0.05,0,50,3468,10808
15000,15000,0.05,0,52,3557,10979
15000,15000,0.05,0,54,3357,10871
15000,15000,0.05,0,56,3417,11040
15000,15000,0.05,0,58,3449,11213
15000,15000,0.05,0,60,3545,11494
15000,15000,0.05,0,62,3514,11770
15000,15000,0.05,0,64,3345,11318
15000,15000,0.05,0,66,3406,11735
15000,15000,0.05,0,68,3388,11769
15000,15000,0.05,0,70,3354,11910
15000,15000,0.05,0,72,3478,12058
15000,15000,0.05,0,74,3355,11905
15000,15000,0.05,0,76,3379,12062
15000,15000,0.05,0,78,3343,12102
15000,15000,0.05,0,80,3419,12339
