rows,cols,fill,NNZ,threads,timeData,timeTot
500,500,0.05,0,2,0,25439
500,500,0.05,0,4,0,14985
500,500,0.05,0,6,0,15771
500,500,0.05,0,8,0,16578
500,500,0.05,0,10,0,17101
500,500,0.05,0,12,0,17466
500,500,0.05,0,14,0,17850
500,500,0.05,0,16,0,17344
500,500,0.05,0,18,0,18231
500,500,0.05,0,20,0,17228
500,500,0.05,0,22,0,18122
500,500,0.05,0,24,0,18495
500,500,0.05,0,26,0,17606
500,500,0.05,0,28,0,19040
500,500,0.05,0,30,0,18590
500,500,0.05,0,32,0,18346
500,500,0.05,0,34,0,18440
500,500,0.05,0,36,0,19379
500,500,0.05,0,38,0,17604
500,500,0.05,0,40,0,17967
500,500,0.05,0,42,0,19663
500,500,0.05,0,44,0,18532
500,500,0.05,0,46,0,19411
500,500,0.05,0,48,0,18814
500,500,0.05,0,50,0,17296
500,500,0.05,0,52,0,19063
500,500,0.05,0,54,0,18061
500,500,0.05,0,56,0,20589
500,500,0.05,0,58,0,18945
500,500,0.05,0,60,0,18207
500,500,0.05,0,62,0,17441
500,500,0.05,0,64,0,20813
500,500,0.05,0,66,0,19700
500,500,0.05,0,68,0,18938
500,500,0.05,0,70,0,18005
500,500,0.05,0,72,0,21669
500,500,0.05,0,74,0,21648
500,500,0.05,0,76,0,20002
500,500,0.05,0,78,0,19232
500,500,0.05,0,80,0,18964
