rows,cols,fill,NNZ,threads,timeData,timeTot
500,500,0.05,174990,2,2,2070
500,500,0.05,176927,4,2,2142
500,500,0.05,176193,6,2,2155
500,500,0.05,175059,8,2,2173
500,500,0.05,175625,10,2,2184
500,500,0.05,176326,12,2,2146
500,500,0.05,176055,14,2,2123
500,500,0.05,177185,16,2,2292
500,500,0.05,175490,18,2,2074
500,500,0.05,177554,20,3,2375
500,500,0.05,174042,22,2,2039
500,500,0.05,175704,24,2,2052
500,500,0.05,174813,26,2,2412
500,500,0.05,175957,28,2,2494
500,500,0.05,176790,30,2,2765
500,500,0.05,176272,32,2,3060
500,500,0.05,176642,34,2,3133
500,500,0.05,174027,36,2,3080
500,500,0.05,177472,38,3,3346
500,500,0.05,176686,40,2,3009
500,500,0.05,175468,42,2,2908
500,500,0.05,176161,44,2,2848
500,500,0.05,173891,46,2,2639
500,500,0.05,176434,48,2,2573
500,500,0.05,176086,50,3,2757
500,500,0.05,176258,52,2,2733
500,500,0.05,176384,54,2,2916
500,500,0.05,176570,56,2,3026
500,500,0.05,175833,58,2,3125
500,500,0.05,177210,60,2,3238
500,500,0.05,175838,62,3,3525
500,500,0.05,177894,64,2,3213
500,500,0.05,176468,66,2,3099
500,500,0.05,176188,68,2,3098
500,500,0.05,173848,70,3,3103
500,500,0.05,176288,72,2,2842
500,500,0.05,176279,74,2,2822
500,500,0.05,175932,76,2,2899
500,500,0.05,176954,78,2,3145
500,500,0.05,176334,80,2,3344
